DQ351796.1	#b3b1b0	Marine sediments	DQ351796.1.1-1499_Uncultured_gamma_proteobacterium_clone_Belgica2005/10-140-24_16S_ribosomal_RNA_gene_complete_sequence	uncultured_Gammaproteobacteria_bacterium	marine_sediments.0.00000024
KR824963.1			KR824963.1.1500_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium.0.00135618
FJ545556.1			FJ545556.1.1-1531_Uncultured_bacterium_clone_S2-18_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	North_Yellow_Sea_sediment.0.00000024
KX088581.1			KX088581.1.1-1502_Uncultured_bacterium_clone_MLGsedbac-5_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	marine.0.00308798
KR824989.1			KR824989.1.1-1498_Uncultured_bacterium_clone_JS2_54_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Janssand_tidal_subsurface_sediment_200_cmbsf.0.00000024
KC631479.1			KC631479.1.1532_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium	uncultured_bacterium	marine_finfish_aquaculture_farm_sediment.0.00623350
GQ246413.1			GQ246413.1.1502_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium.0.01061251
JN977377.1			JN977377.1.1533_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium	uncultured_bacterium	Jiaozhao_Bay_sediment.0.00340478
JX441416.1			JX441416.1.1-1496_Uncultured_bacterium_clone_YD200-25_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	Indian_Ocean.0.01130063
FM211759.1			FM211759.1.1-1497_Uncultured_gamma_proteobacterium_partial_16S_rRNA_gene_clone_2C69	uncultured_Gammaproteobacteria_bacterium	sediment_of_Bizerte_lagoon.0.00501895
DQ351754.1	#b3b1b0	Marine sediments	DQ351754.1.1-1497_Uncultured_gamma_proteobacterium_clone_Belgica2005/10-130-6_16S_ribosomal_RNA_gene_complete_sequence	uncultured_Gammaproteobacteria_bacterium	marine_sediments.0.00471676
EU287174.1			EU287174.1.1501_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium.0.01206289
FJ545566.1			FJ545566.1.1535_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium.0.00297617
EU491384.1			EU491384.1.1501_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium.0.00651628
JF344234.1			JF344234.1.1499_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_gamma_proteobacterium.0.00752869
JQ579987.1			JQ579987.1.1499_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_gamma_proteobacterium.0.00663648
JX193398.1			JX193398.1.1-1533_Uncultured_bacterium_clone_Q10901_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	intertidal_surface_sediment.0.00612145
JX193401.1			JX193401.1.1-1533_Uncultured_bacterium_clone_Q10906_16S_ribosomal_RNA_gene_partial_sequence	uncultured_bacterium	intertidal_surface_sediment.0.00135462
JX193398.1			JX193398.1.1533_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_bacterium	uncultured_bacterium	intertidal_surface_sediment.0.00000000
JF344008.1	#b3b1b0.#f2faad	Marine sediments.Oil spill	JF344008.1.1-1499_Uncultured_gamma_proteobacterium_clone_RODAS-030_16S_ribosomal_RNA_gene_partial_sequence	uncultured_Gammaproteobacteria_bacterium	hydrocarbon_polluted_marine_sediments_from_rodas_beach.0.00135446
FN553613.1			FN553613.1.1500_BacteriaProteobacteriaGammaproteobacteriaSteroidobacteralesWoeseiaceaeWoeseiauncultured_sediment_bacterium.0.01183678
