431_scaffold4,131050,f6Z131050,1,1_48368_50137_-_gene_type=bacteria	36aec8a67cf66ecf304229bf55c7b953	589	Pfam	PF00437	Type II/IV secretion system protein	195	460	1.3E-83	T	28-03-2024	IPR001482	Type II/IV secretion system domain
431_scaffold4,131050,f6Z131050,1,1_48368_50137_-_gene_type=bacteria	36aec8a67cf66ecf304229bf55c7b953	589	Pfam	PF05157	MshEN domain	50	159	2.3E-18	T	28-03-2024	IPR007831	Type II secretion system protein GspE, N-terminal
636_scaffold3,247339,f3Z247339,1,1_81031_81660_-_gene_type=bacteria	904c64d220defce747d3397386ce07fd	209	Pfam	PF03232	Ubiquinone biosynthesis protein COQ7	46	204	1.4E-38	T	28-03-2024	-	-
412_scaffold4,131050,f6Z131050,1,1_26543_29584_-_gene_type=bacteria	b8ef312111141523ab2b001af76b5065	1013	Pfam	PF13116	Protein of unknown function	341	572	1.8E-6	T	28-03-2024	IPR025263	Domain of unknown function DUF3971
412_scaffold4,131050,f6Z131050,1,1_26543_29584_-_gene_type=bacteria	b8ef312111141523ab2b001af76b5065	1013	Pfam	PF13502	AsmA-like C-terminal region	752	992	4.1E-29	T	28-03-2024	IPR032712	AsmA-like, C-terminal
1034_scaffold2,278870,f1Z278870,1,1_255615_256577_-_gene_type=bacteria	0f53f1acf90d8bc0e24a34b5047c956f	320	Pfam	PF01687	Riboflavin kinase	178	298	3.5E-30	T	28-03-2024	IPR015865	Riboflavin kinase domain, bacterial/eukaryotic
1034_scaffold2,278870,f1Z278870,1,1_255615_256577_-_gene_type=bacteria	0f53f1acf90d8bc0e24a34b5047c956f	320	Pfam	PF06574	FAD synthetase	13	160	5.5E-34	T	28-03-2024	IPR015864	FAD synthetase
1209_scaffold1,324557,f2Z324557,1,1_81372_83789_-_gene_type=bacteria	211807c0f2bd140499391fab2892c3c1	805	Pfam	PF18053	DNA gyrase B subunit insert domain	575	731	1.5E-14	T	28-03-2024	IPR041423	DNA gyrase subunit B insert domain
1209_scaffold1,324557,f2Z324557,1,1_81372_83789_-_gene_type=bacteria	211807c0f2bd140499391fab2892c3c1	805	Pfam	PF00986	DNA gyrase B subunit, carboxyl terminus	733	793	2.2E-28	T	28-03-2024	IPR002288	DNA gyrase B subunit, C-terminal
1209_scaffold1,324557,f2Z324557,1,1_81372_83789_-_gene_type=bacteria	211807c0f2bd140499391fab2892c3c1	805	Pfam	PF00204	DNA gyrase B	223	392	3.3E-52	T	28-03-2024	IPR013506	DNA topoisomerase, type IIA, subunit B, domain 2
1209_scaffold1,324557,f2Z324557,1,1_81372_83789_-_gene_type=bacteria	211807c0f2bd140499391fab2892c3c1	805	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	35	176	3.1E-15	T	28-03-2024	IPR003594	Histidine kinase/HSP90-like ATPase
1209_scaffold1,324557,f2Z324557,1,1_81372_83789_-_gene_type=bacteria	211807c0f2bd140499391fab2892c3c1	805	Pfam	PF01751	Toprim domain	421	525	4.7E-13	T	28-03-2024	IPR006171	TOPRIM domain
1253_scaffold1,324557,f2Z324557,1,1_137097_139136_+_gene_type=bacteria	01666c5a975216b849c92fd93e31f510	679	Pfam	PF02384	N-6 DNA Methylase	162	473	9.7E-53	T	28-03-2024	IPR003356	DNA methylase, adenine-specific
1253_scaffold1,324557,f2Z324557,1,1_137097_139136_+_gene_type=bacteria	01666c5a975216b849c92fd93e31f510	679	Pfam	PF12161	HsdM N-terminal domain	9	147	4.6E-19	T	28-03-2024	IPR022749	N6 adenine-specific DNA methyltransferase, N-terminal domain
891_scaffold2,278870,f1Z278870,1,1_116665_118047_+_gene_type=bacteria	41a7f988ceb717604e04d8f72a472b36	460	Pfam	PF00206	Lyase	12	304	2.7E-72	T	28-03-2024	IPR022761	Fumarate lyase, N-terminal
